city,zip,forecast_date,parameter,aqi,category,action_day,discussion
"Annapolis, MD",21401,2026-07-16,O3,119,Unhealthy for Sensitive Groups,true,"A multi-day air quality event is expected Thursday and Friday, possibly persisting into Saturday, due to wildfire smoke and ozone pollution simultaneously occurring with temperatures above normal. A wave of wildfire smoke is expected to push southward into central Maryland Thursday morning under a lee trough. Fine particulates will be elevated with USG conditions expected along the I-95 corridor. The highest concentrations will be across northeast Maryland where smoke will enter first and linger longest. Ozone will also be elevated given the aged smoke and intense heat. High Moderate to USG level ozone is forecast statewide with ozone potentially approaching Unhealthy AQI levels downwind of Baltimore over the Chesapeake Bay. A weak cold front will move south Thursday night and Friday morning, ushering in a significant amount of smoke into Maryland that will persist all day Friday due to weak, recirculating winds. Unhealthy, (code Red) AQI for PM2.5 pollution within the smoke is forecast statewide. Ozone will also remain elevated with USG conditions persisting, assuming enough sunlight penetrates the thick smoke for ozone production.  Precipitation chances will increase into Saturday. Ozone should be mitigated with an increase in cloud cover down into the threshold Good to low Moderate range.  However, uncertainties remain whether the rain will wash out fine particles to fully end the air quality episode. Presently Moderate AQI is forecast, but USG conditions remain possible. For the latest air quality information, please visit our website <a href=""https://mde.maryland.gov/programs/air/AirQualityMonitoring/Pages/index.aspx"" target=""_blank"">here.</a>  -MDE"
"Annapolis, MD",21401,2026-07-16,PM2.5,102,Unhealthy for Sensitive Groups,true,"A multi-day air quality event is expected Thursday and Friday, possibly persisting into Saturday, due to wildfire smoke and ozone pollution simultaneously occurring with temperatures above normal. A wave of wildfire smoke is expected to push southward into central Maryland Thursday morning under a lee trough. Fine particulates will be elevated with USG conditions expected along the I-95 corridor. The highest concentrations will be across northeast Maryland where smoke will enter first and linger longest. Ozone will also be elevated given the aged smoke and intense heat. High Moderate to USG level ozone is forecast statewide with ozone potentially approaching Unhealthy AQI levels downwind of Baltimore over the Chesapeake Bay. A weak cold front will move south Thursday night and Friday morning, ushering in a significant amount of smoke into Maryland that will persist all day Friday due to weak, recirculating winds. Unhealthy, (code Red) AQI for PM2.5 pollution within the smoke is forecast statewide. Ozone will also remain elevated with USG conditions persisting, assuming enough sunlight penetrates the thick smoke for ozone production.  Precipitation chances will increase into Saturday. Ozone should be mitigated with an increase in cloud cover down into the threshold Good to low Moderate range.  However, uncertainties remain whether the rain will wash out fine particles to fully end the air quality episode. Presently Moderate AQI is forecast, but USG conditions remain possible. For the latest air quality information, please visit our website <a href=""https://mde.maryland.gov/programs/air/AirQualityMonitoring/Pages/index.aspx"" target=""_blank"">here.</a>  -MDE"
"Annapolis, MD",21401,2026-07-17,O3,112,Unhealthy for Sensitive Groups,false,"A multi-day air quality event is expected Thursday and Friday, possibly persisting into Saturday, due to wildfire smoke and ozone pollution simultaneously occurring with temperatures above normal. A wave of wildfire smoke is expected to push southward into central Maryland Thursday morning under a lee trough. Fine particulates will be elevated with USG conditions expected along the I-95 corridor. The highest concentrations will be across northeast Maryland where smoke will enter first and linger longest. Ozone will also be elevated given the aged smoke and intense heat. High Moderate to USG level ozone is forecast statewide with ozone potentially approaching Unhealthy AQI levels downwind of Baltimore over the Chesapeake Bay. A weak cold front will move south Thursday night and Friday morning, ushering in a significant amount of smoke into Maryland that will persist all day Friday due to weak, recirculating winds. Unhealthy, (code Red) AQI for PM2.5 pollution within the smoke is forecast statewide. Ozone will also remain elevated with USG conditions persisting, assuming enough sunlight penetrates the thick smoke for ozone production.  Precipitation chances will increase into Saturday. Ozone should be mitigated with an increase in cloud cover down into the threshold Good to low Moderate range.  However, uncertainties remain whether the rain will wash out fine particles to fully end the air quality episode. Presently Moderate AQI is forecast, but USG conditions remain possible. For the latest air quality information, please visit our website <a href=""https://mde.maryland.gov/programs/air/AirQualityMonitoring/Pages/index.aspx"" target=""_blank"">here.</a>  -MDE"
"Annapolis, MD",21401,2026-07-17,PM2.5,158,Unhealthy,false,"A multi-day air quality event is expected Thursday and Friday, possibly persisting into Saturday, due to wildfire smoke and ozone pollution simultaneously occurring with temperatures above normal. A wave of wildfire smoke is expected to push southward into central Maryland Thursday morning under a lee trough. Fine particulates will be elevated with USG conditions expected along the I-95 corridor. The highest concentrations will be across northeast Maryland where smoke will enter first and linger longest. Ozone will also be elevated given the aged smoke and intense heat. High Moderate to USG level ozone is forecast statewide with ozone potentially approaching Unhealthy AQI levels downwind of Baltimore over the Chesapeake Bay. A weak cold front will move south Thursday night and Friday morning, ushering in a significant amount of smoke into Maryland that will persist all day Friday due to weak, recirculating winds. Unhealthy, (code Red) AQI for PM2.5 pollution within the smoke is forecast statewide. Ozone will also remain elevated with USG conditions persisting, assuming enough sunlight penetrates the thick smoke for ozone production.  Precipitation chances will increase into Saturday. Ozone should be mitigated with an increase in cloud cover down into the threshold Good to low Moderate range.  However, uncertainties remain whether the rain will wash out fine particles to fully end the air quality episode. Presently Moderate AQI is forecast, but USG conditions remain possible. For the latest air quality information, please visit our website <a href=""https://mde.maryland.gov/programs/air/AirQualityMonitoring/Pages/index.aspx"" target=""_blank"">here.</a>  -MDE"
"Annapolis, MD",21401,2026-07-18,O3,50,Good,false,"A multi-day air quality event is expected Thursday and Friday, possibly persisting into Saturday, due to wildfire smoke and ozone pollution simultaneously occurring with temperatures above normal. A wave of wildfire smoke is expected to push southward into central Maryland Thursday morning under a lee trough. Fine particulates will be elevated with USG conditions expected along the I-95 corridor. The highest concentrations will be across northeast Maryland where smoke will enter first and linger longest. Ozone will also be elevated given the aged smoke and intense heat. High Moderate to USG level ozone is forecast statewide with ozone potentially approaching Unhealthy AQI levels downwind of Baltimore over the Chesapeake Bay. A weak cold front will move south Thursday night and Friday morning, ushering in a significant amount of smoke into Maryland that will persist all day Friday due to weak, recirculating winds. Unhealthy, (code Red) AQI for PM2.5 pollution within the smoke is forecast statewide. Ozone will also remain elevated with USG conditions persisting, assuming enough sunlight penetrates the thick smoke for ozone production.  Precipitation chances will increase into Saturday. Ozone should be mitigated with an increase in cloud cover down into the threshold Good to low Moderate range.  However, uncertainties remain whether the rain will wash out fine particles to fully end the air quality episode. Presently Moderate AQI is forecast, but USG conditions remain possible. For the latest air quality information, please visit our website <a href=""https://mde.maryland.gov/programs/air/AirQualityMonitoring/Pages/index.aspx"" target=""_blank"">here.</a>  -MDE"
"Annapolis, MD",21401,2026-07-18,PM2.5,90,Moderate,false,"A multi-day air quality event is expected Thursday and Friday, possibly persisting into Saturday, due to wildfire smoke and ozone pollution simultaneously occurring with temperatures above normal. A wave of wildfire smoke is expected to push southward into central Maryland Thursday morning under a lee trough. Fine particulates will be elevated with USG conditions expected along the I-95 corridor. The highest concentrations will be across northeast Maryland where smoke will enter first and linger longest. Ozone will also be elevated given the aged smoke and intense heat. High Moderate to USG level ozone is forecast statewide with ozone potentially approaching Unhealthy AQI levels downwind of Baltimore over the Chesapeake Bay. A weak cold front will move south Thursday night and Friday morning, ushering in a significant amount of smoke into Maryland that will persist all day Friday due to weak, recirculating winds. Unhealthy, (code Red) AQI for PM2.5 pollution within the smoke is forecast statewide. Ozone will also remain elevated with USG conditions persisting, assuming enough sunlight penetrates the thick smoke for ozone production.  Precipitation chances will increase into Saturday. Ozone should be mitigated with an increase in cloud cover down into the threshold Good to low Moderate range.  However, uncertainties remain whether the rain will wash out fine particles to fully end the air quality episode. Presently Moderate AQI is forecast, but USG conditions remain possible. For the latest air quality information, please visit our website <a href=""https://mde.maryland.gov/programs/air/AirQualityMonitoring/Pages/index.aspx"" target=""_blank"">here.</a>  -MDE"
"Annapolis, MD",21401,2026-07-17,O3,112,Unhealthy for Sensitive Groups,false,"A multi-day air quality event is expected Thursday and Friday, possibly persisting into Saturday, due to wildfire smoke and ozone pollution simultaneously occurring with temperatures above normal. A wave of wildfire smoke is expected to push southward into central Maryland Thursday morning under a lee trough. Fine particulates will be elevated with USG conditions expected along the I-95 corridor. The highest concentrations will be across northeast Maryland where smoke will enter first and linger longest. Ozone will also be elevated given the aged smoke and intense heat. High Moderate to USG level ozone is forecast statewide with ozone potentially approaching Unhealthy AQI levels downwind of Baltimore over the Chesapeake Bay. A weak cold front will move south Thursday night and Friday morning, ushering in a significant amount of smoke into Maryland that will persist all day Friday due to weak, recirculating winds. Unhealthy, (code Red) AQI for PM2.5 pollution within the smoke is forecast statewide. Ozone will also remain elevated with USG conditions persisting, assuming enough sunlight penetrates the thick smoke for ozone production.  Precipitation chances will increase into Saturday. Ozone should be mitigated with an increase in cloud cover down into the threshold Good to low Moderate range.  However, uncertainties remain whether the rain will wash out fine particles to fully end the air quality episode. Presently Moderate AQI is forecast, but USG conditions remain possible. For the latest air quality information, please visit our website <a href=""https://mde.maryland.gov/programs/air/AirQualityMonitoring/Pages/index.aspx"" target=""_blank"">here.</a>  -MDE"
"Annapolis, MD",21401,2026-07-17,PM2.5,158,Unhealthy,false,"A multi-day air quality event is expected Thursday and Friday, possibly persisting into Saturday, due to wildfire smoke and ozone pollution simultaneously occurring with temperatures above normal. A wave of wildfire smoke is expected to push southward into central Maryland Thursday morning under a lee trough. Fine particulates will be elevated with USG conditions expected along the I-95 corridor. The highest concentrations will be across northeast Maryland where smoke will enter first and linger longest. Ozone will also be elevated given the aged smoke and intense heat. High Moderate to USG level ozone is forecast statewide with ozone potentially approaching Unhealthy AQI levels downwind of Baltimore over the Chesapeake Bay. A weak cold front will move south Thursday night and Friday morning, ushering in a significant amount of smoke into Maryland that will persist all day Friday due to weak, recirculating winds. Unhealthy, (code Red) AQI for PM2.5 pollution within the smoke is forecast statewide. Ozone will also remain elevated with USG conditions persisting, assuming enough sunlight penetrates the thick smoke for ozone production.  Precipitation chances will increase into Saturday. Ozone should be mitigated with an increase in cloud cover down into the threshold Good to low Moderate range.  However, uncertainties remain whether the rain will wash out fine particles to fully end the air quality episode. Presently Moderate AQI is forecast, but USG conditions remain possible. For the latest air quality information, please visit our website <a href=""https://mde.maryland.gov/programs/air/AirQualityMonitoring/Pages/index.aspx"" target=""_blank"">here.</a>  -MDE"
"Annapolis, MD",21401,2026-07-18,O3,50,Good,false,"A multi-day air quality event is expected Thursday and Friday, possibly persisting into Saturday, due to wildfire smoke and ozone pollution simultaneously occurring with temperatures above normal. A wave of wildfire smoke is expected to push southward into central Maryland Thursday morning under a lee trough. Fine particulates will be elevated with USG conditions expected along the I-95 corridor. The highest concentrations will be across northeast Maryland where smoke will enter first and linger longest. Ozone will also be elevated given the aged smoke and intense heat. High Moderate to USG level ozone is forecast statewide with ozone potentially approaching Unhealthy AQI levels downwind of Baltimore over the Chesapeake Bay. A weak cold front will move south Thursday night and Friday morning, ushering in a significant amount of smoke into Maryland that will persist all day Friday due to weak, recirculating winds. Unhealthy, (code Red) AQI for PM2.5 pollution within the smoke is forecast statewide. Ozone will also remain elevated with USG conditions persisting, assuming enough sunlight penetrates the thick smoke for ozone production.  Precipitation chances will increase into Saturday. Ozone should be mitigated with an increase in cloud cover down into the threshold Good to low Moderate range.  However, uncertainties remain whether the rain will wash out fine particles to fully end the air quality episode. Presently Moderate AQI is forecast, but USG conditions remain possible. For the latest air quality information, please visit our website <a href=""https://mde.maryland.gov/programs/air/AirQualityMonitoring/Pages/index.aspx"" target=""_blank"">here.</a>  -MDE"
"Annapolis, MD",21401,2026-07-18,PM2.5,90,Moderate,false,"A multi-day air quality event is expected Thursday and Friday, possibly persisting into Saturday, due to wildfire smoke and ozone pollution simultaneously occurring with temperatures above normal. A wave of wildfire smoke is expected to push southward into central Maryland Thursday morning under a lee trough. Fine particulates will be elevated with USG conditions expected along the I-95 corridor. The highest concentrations will be across northeast Maryland where smoke will enter first and linger longest. Ozone will also be elevated given the aged smoke and intense heat. High Moderate to USG level ozone is forecast statewide with ozone potentially approaching Unhealthy AQI levels downwind of Baltimore over the Chesapeake Bay. A weak cold front will move south Thursday night and Friday morning, ushering in a significant amount of smoke into Maryland that will persist all day Friday due to weak, recirculating winds. Unhealthy, (code Red) AQI for PM2.5 pollution within the smoke is forecast statewide. Ozone will also remain elevated with USG conditions persisting, assuming enough sunlight penetrates the thick smoke for ozone production.  Precipitation chances will increase into Saturday. Ozone should be mitigated with an increase in cloud cover down into the threshold Good to low Moderate range.  However, uncertainties remain whether the rain will wash out fine particles to fully end the air quality episode. Presently Moderate AQI is forecast, but USG conditions remain possible. For the latest air quality information, please visit our website <a href=""https://mde.maryland.gov/programs/air/AirQualityMonitoring/Pages/index.aspx"" target=""_blank"">here.</a>  -MDE"
"Washington, DC",20001,2026-07-16,O3,108,Unhealthy for Sensitive Groups,true,
"Washington, DC",20001,2026-07-16,PM2.5,90,Moderate,false,
"Washington, DC",20001,2026-07-17,O3,119,Unhealthy for Sensitive Groups,false,
"Washington, DC",20001,2026-07-17,PM2.5,129,Unhealthy for Sensitive Groups,false,
"Washington, DC",20001,2026-07-18,O3,71,Moderate,false,
"Washington, DC",20001,2026-07-18,PM2.5,129,Unhealthy for Sensitive Groups,false,
"Washington, DC",20001,2026-07-17,O3,119,Unhealthy for Sensitive Groups,false,
"Washington, DC",20001,2026-07-17,PM2.5,129,Unhealthy for Sensitive Groups,false,
"Washington, DC",20001,2026-07-18,O3,71,Moderate,false,
"Washington, DC",20001,2026-07-18,PM2.5,129,Unhealthy for Sensitive Groups,false,
"Elkton, MD",21921,2026-07-16,O3,150,Unhealthy for Sensitive Groups,true,"A multi-day air quality event is expected Thursday and Friday, possibly persisting into Saturday, due to wildfire smoke and ozone pollution simultaneously occurring with temperatures above normal. A wave of wildfire smoke is expected to push southward into central Maryland Thursday morning under a lee trough. Fine particulates will be elevated with USG conditions expected along the I-95 corridor. The highest concentrations will be across northeast Maryland where smoke will enter first and linger longest. Ozone will also be elevated given the aged smoke and intense heat. High Moderate to USG level ozone is forecast statewide with ozone potentially approaching Unhealthy AQI levels downwind of Baltimore over the Chesapeake Bay. A weak cold front will move south Thursday night and Friday morning, ushering in a significant amount of smoke into Maryland that will persist all day Friday due to weak, recirculating winds. Unhealthy, (code Red) AQI for PM2.5 pollution within the smoke is forecast statewide. Ozone will also remain elevated with USG conditions persisting, assuming enough sunlight penetrates the thick smoke for ozone production.  Precipitation chances will increase into Saturday. Ozone should be mitigated with an increase in cloud cover down into the threshold Good to low Moderate range.  However, uncertainties remain whether the rain will wash out fine particles to fully end the air quality episode. Presently Moderate AQI is forecast, but USG conditions remain possible. For the latest air quality information, please visit our website <a href=""https://mde.maryland.gov/programs/air/AirQualityMonitoring/Pages/index.aspx"" target=""_blank"">here.</a>  -MDE"
